lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_mean_8,rolling_std_4,rolling_std_8,week_of_year,week_cos,hol_easter,hol_kings_day,hol_pentecost,hol_christmas,temp_mean,precip_sum,sunshine_sum,lockdown_days,school_holiday,product_id,week_start
-17.43925,-5.0227327,-1.0090137,-1.5985428,-11.851558,-1.4525697,4.7135434,-0.18940929,-0.79620755,4.8789897,-0.119664595,-0.013803879,-0.026077552,0.0020746759,0.9638952,0.45830894,-1.5838263,-0.75934166,-0.023226298,63,2021-09-13
-17.263607,-5.574293,0.6473745,-1.6230608,-14.769921,-3.2143695,5.156504,-0.46571425,-0.8017685,4.668501,-0.117766574,-0.013803879,-0.026077552,0.0020746759,0.8390219,0.3903147,-1.5216013,-0.7877541,-0.004331272,66,2021-09-13
-18.842745,-6.393971,-0.8312508,-1.7871851,-17.444405,-2.7943966,4.7564125,-0.57047135,-0.64061135,4.537878,-0.117766574,-0.013803879,-0.030149309,0.0020746759,0.76851296,0.35306937,-1.590898,-0.69408226,-0.023942886,71,2021-09-13
-14.985505,-6.9675746,0.0035130437,-1.5859082,-16.5159,-2.7274477,4.617738,-0.4515044,-0.8126515,4.431812,-0.1532127,-0.013803879,-0.026077552,0.0020746759,0.7687571,0.36479056,-1.6127828,-0.8572917,-0.00028552092,72,2021-09-13
-12.381474,-1.5209857,-0.96134865,-1.1737001,-3.2394943,3.9263463,4.463176,-0.4002364,-1.1333368,5.658984,-0.16725579,-0.07536441,-0.035483092,0.0020746759,1.263713,0.18124779,-1.5360096,-1.1250857,0.00034690206,78,2021-09-13
-17.446945,-6.3779244,-0.8170871,-1.55022,-16.334862,-1.2365054,4.613644,-0.3065431,-0.91370773,4.688881,-0.11834318,-0.01520705,-0.026077552,0.0020746759,0.8833767,0.41284335,-1.6135758,-0.74009603,-0.0044154376,79,2021-09-13
-18.926542,-7.2801785,0.6560768,-1.7642303,-18.704885,-5.2386756,4.647032,-0.8939807,-0.6630558,4.361893,-0.117766574,-0.013803879,-0.030149309,0.0020746759,0.7530073,0.34666568,-1.5445096,-0.6857928,-0.004331272,83,2021-09-13
-16.756659,-7.4654193,0.6347125,-1.8262608,-18.823683,-6.804534,4.5094304,-1.4158235,-0.8605409,4.3579016,-0.115173705,-0.013803879,-0.028936258,0.0020746759,0.7396335,0.3526158,-1.5380602,-0.6984709,-0.004331272,90,2021-09-13
-15.264892,-5.9951844,-0.9925544,3.6136732,-10.955901,3.7260451,1.8480159,2.2625537,-2.1447356,5.8018913,-0.47010303,-0.097266264,-0.033972137,0.0020746759,0.78058225,0.45169413,-2.129375,-0.6418186,-0.011448164,94,2021-09-13
-16.240625,-4.8161106,-0.8374709,-1.4417989,-11.748019,1.1933248,4.836567,-0.43434438,-0.8653244,5.269672,-0.14101274,-0.013803879,-0.02977884,0.0020746759,0.9548778,0.39352947,-1.5988493,-0.78799593,-0.0044154376,107,2021-09-13
-16.488983,-6.289824,-0.8238711,-1.7431892,-11.827811,-1.4463416,4.9650865,-0.24269691,-0.7870887,4.750841,-0.110564455,-0.013803879,-0.026077552,0.0020746759,0.8810179,0.38401568,-1.5757774,-0.7855945,-0.023942886,117,2021-09-13
-17.23252,-7.2937646,0.6668707,-1.8884572,-17.597511,-2.566622,4.662841,-0.3684471,-0.6932267,4.4625077,-0.117766574,-0.013803879,-0.026077552,0.0020746759,0.80117595,0.39350027,-1.5393233,-0.73426163,0.015196174,146,2021-09-13
-16.351725,-6.2968535,-0.97798055,-1.1357157,-11.922614,-0.11518695,4.8124204,-0.21698336,-0.81562316,4.905981,-0.14101274,-0.013803879,-0.02977884,0.0020746759,0.88077927,0.39313287,-1.5748852,-0.78684956,-0.023226298,164,2021-09-13
-15.5075,-6.0736194,0.7627767,-0.93360835,-7.024307,-2.5708199,-1.414689,0.03549054,-0.4163328,4.7470446,-0.14454564,-0.014116012,-0.030919518,0.0020746759,0.931553,0.7302314,-1.4990622,-0.78132015,-0.016452929,172,2021-09-13
-16.964577,-5.1780806,0.66825587,-1.6519498,-14.615349,-3.026396,4.6725707,-0.811643,-0.88843167,4.791293,-0.1358819,-0.013803879,-0.026077552,0.0020746759,0.8367795,0.4062314,-1.5592649,-0.7463502,-0.00028552092,174,2021-09-13
-15.483447,-5.415738,1.152656,-1.0655721,-2.9354901,4.9111867,0.6784095,1.3430192,-1.2392784,5.953944,-0.16661882,-0.06568747,-0.035318468,0.0020746759,1.2776098,0.6516094,-1.8740804,-0.9619668,0.0030745184,176,2021-09-13
-17.80154,-7.401115,0.67070633,-0.9963842,-18.06861,-3.2612414,4.4638486,-0.73919815,-0.7465515,4.4840536,-0.1358819,-0.01520705,-0.02977884,0.0020746759,0.81358933,0.36074966,-1.563954,-0.7219767,0.015196174,187,2021-09-13
-18.831224,-6.070182,0.041457802,-1.6532519,-17.586311,-2.8613594,4.619706,-0.72135454,-0.6583742,4.5838385,-0.117766574,-0.013803879,-0.030149309,0.0020746759,0.8029314,0.36714447,-1.601171,-0.69724536,0.015196174,197,2021-09-13
