product_id,week,sku_sold,week_start
693,2018-11-26/2018-12-02,2,2018-11-26
693,2018-12-31/2019-01-06,1,2018-12-31
693,2019-02-04/2019-02-10,1,2019-02-04
693,2019-02-11/2019-02-17,1,2019-02-11
693,2019-02-18/2019-02-24,4,2019-02-18
693,2019-02-25/2019-03-03,4,2019-02-25
693,2019-03-11/2019-03-17,3,2019-03-11
693,2019-03-18/2019-03-24,3,2019-03-18
693,2019-03-25/2019-03-31,2,2019-03-25
693,2019-04-01/2019-04-07,1,2019-04-01
693,2019-04-08/2019-04-14,1,2019-04-08
693,2019-04-15/2019-04-21,4,2019-04-15
693,2019-04-22/2019-04-28,2,2019-04-22
693,2019-04-29/2019-05-05,2,2019-04-29
693,2019-05-06/2019-05-12,2,2019-05-06
693,2019-05-20/2019-05-26,3,2019-05-20
693,2019-05-27/2019-06-02,1,2019-05-27
693,2019-06-03/2019-06-09,1,2019-06-03
693,2019-06-24/2019-06-30,1,2019-06-24
693,2019-07-08/2019-07-14,2,2019-07-08
693,2019-07-22/2019-07-28,1,2019-07-22
693,2019-08-05/2019-08-11,1,2019-08-05
693,2019-08-12/2019-08-18,2,2019-08-12
693,2019-08-26/2019-09-01,1,2019-08-26
693,2019-09-02/2019-09-08,2,2019-09-02
693,2019-09-09/2019-09-15,2,2019-09-09
693,2019-09-23/2019-09-29,2,2019-09-23
693,2019-10-14/2019-10-20,1,2019-10-14
693,2019-10-21/2019-10-27,5,2019-10-21
693,2019-10-28/2019-11-03,1,2019-10-28
693,2019-11-04/2019-11-10,2,2019-11-04
693,2019-11-11/2019-11-17,2,2019-11-11
693,2019-11-18/2019-11-24,2,2019-11-18
693,2019-11-25/2019-12-01,3,2019-11-25
693,2019-12-09/2019-12-15,2,2019-12-09
693,2019-12-16/2019-12-22,1,2019-12-16
693,2020-01-13/2020-01-19,1,2020-01-13
693,2020-01-27/2020-02-02,1,2020-01-27
693,2020-02-03/2020-02-09,1,2020-02-03
693,2020-02-10/2020-02-16,4,2020-02-10
693,2020-02-17/2020-02-23,1,2020-02-17
693,2020-02-24/2020-03-01,1,2020-02-24
693,2020-03-02/2020-03-08,1,2020-03-02
693,2020-03-23/2020-03-29,2,2020-03-23
693,2020-04-06/2020-04-12,4,2020-04-06
693,2020-04-13/2020-04-19,1,2020-04-13
693,2020-04-20/2020-04-26,5,2020-04-20
693,2020-04-27/2020-05-03,5,2020-04-27
693,2020-05-25/2020-05-31,1,2020-05-25
693,2020-06-08/2020-06-14,3,2020-06-08
693,2020-06-15/2020-06-21,2,2020-06-15
693,2020-06-22/2020-06-28,2,2020-06-22
693,2020-06-29/2020-07-05,6,2020-06-29
693,2020-07-06/2020-07-12,1,2020-07-06
693,2020-07-13/2020-07-19,2,2020-07-13
